song,artist,album,ms,genres
MÁS DE UNA CITA,Bad Bunny,LAS QUE NO IBAN A SALIR,7345,"reggaeton, trap latino, urbano latino"
El Party Me Llama,Daddy Yankee,Prestige,23080,"latin hip hop, reggaeton, trap latino, urbano latino"
Noche De Entierro,Daddy Yankee,Mas Flow - Los Benjamins,263293,"latin hip hop, reggaeton, trap latino, urbano latino"
Baby Blue Love,TWICE,Taste of Love,15304,"k-pop, k-pop girl group, pop"
Four-leaf Clover,TWICE,Perfect World,227653,"k-pop, k-pop girl group, pop"
Force,TOMORROW X TOGETHER,Force,16160,"k-pop, k-pop boy group"
"Thank you, Family",TWICE,Perfect World,6404,"k-pop, k-pop girl group, pop"
PIECES OF LOVE,TWICE,Perfect World,21651,"k-pop, k-pop girl group, pop"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,20203,"canadian pop, pop"
Yonaguni,Bad Bunny,Yonaguni,217587,"reggaeton, trap latino, urbano latino"
LO$ER=LO♡ER,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,20108,"k-pop, k-pop boy group"
Perfect World,TWICE,Perfect World,126757,"k-pop, k-pop girl group, pop"
MOA Diary (Dubaddu Wari Wari),TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,29100,"k-pop, k-pop boy group"
Good at Love,TWICE,Perfect World,16292,"k-pop, k-pop girl group, pop"
I PROMISE YOU (I.P.U.) - Special Theme Track,Wanna One,0+1=1 (I PROMISE YOU),220529,"k-pop, k-pop boy group"
PROMISE,TWICE,Perfect World,494,"k-pop, k-pop girl group, pop"
0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,218569,"k-pop, k-pop boy group"
positions,Ariana Grande,Positions,34750,pop
CHEESE,Stray Kids,NOEASY,182080,"k-pop, k-pop boy group, pop"
Thunderous,Stray Kids,NOEASY,183266,"k-pop, k-pop boy group, pop"
DOMINO,Stray Kids,NOEASY,198720,"k-pop, k-pop boy group, pop"
SSICK,Stray Kids,NOEASY,190146,"k-pop, k-pop boy group, pop"
The View,Stray Kids,NOEASY,201746,"k-pop, k-pop boy group, pop"
"Sorry, I Love You",Stray Kids,NOEASY,104120,"k-pop, k-pop boy group, pop"
Silent Cry,Stray Kids,NOEASY,209506,"k-pop, k-pop boy group, pop"
Secret Secret,Stray Kids,NOEASY,61030,"k-pop, k-pop boy group, pop"
Hello from TXT,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,19913,"k-pop, k-pop boy group"
[Commentary] LO$ER=LO♡ER,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,7248,"k-pop, k-pop boy group"
[Commentary] Anti-Romantic,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,2025,"k-pop, k-pop boy group"
[Commentary] 0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,2231,"k-pop, k-pop boy group"
Merry & Happy,TWICE,Merry & Happy,55609,"k-pop, k-pop girl group, pop"
Star Lost,Stray Kids,NOEASY,1084,"k-pop, k-pop boy group, pop"
"Red Lights (Bang Chan, Hyunjin)",Stray Kids,NOEASY,4654,"k-pop, k-pop boy group, pop"
The Reason Why,TWICE,&TWICE,24441,"k-pop, k-pop girl group, pop"
First Time,TWICE,Taste of Love,182946,"k-pop, k-pop girl group, pop"
[Commentary] Magic,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,1215,"k-pop, k-pop boy group"
[Commentary] Ice Cream,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,2097,"k-pop, k-pop boy group"
[Commentary] What if I had been that PUMA,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,1808,"k-pop, k-pop boy group"
[Commentary] No Rules,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,417,"k-pop, k-pop boy group"
[Commentary] MOA Diary (Dubaddu Wari Wari),TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,13586,"k-pop, k-pop boy group"
[Commentary] Dear Sputnik,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,1087,"k-pop, k-pop boy group"
I love you more than anyone,TWICE,"HOSPITAL PLAYLIST Season2, Pt. 4 (Original Television Soundtrack)",2002,"k-pop, k-pop girl group, pop"
[Commentary] Frost,TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,12992,"k-pop, k-pop boy group"
[Commentary] 0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),TOMORROW X TOGETHER,TXT - Fight or Escape Commentary,16978,"k-pop, k-pop boy group"
LIKEY - Japanese ver.,TWICE,LIKEY,3077,"k-pop, k-pop girl group, pop"
TT - Japanese ver.,TWICE,#TWICE,1220,"k-pop, k-pop girl group, pop"
CHILLAX,TWICE,Summer Nights,5835,"k-pop, k-pop girl group, pop"
Como Antes,Bad Bunny,X 100PRE,13151,"reggaeton, trap latino, urbano latino"
"Surfin’ (Lee Know, Changbin, Felix)",Stray Kids,NOEASY,191333,"k-pop, k-pop boy group, pop"
"Gone Away (HAN, Seungmin, I.N)",Stray Kids,NOEASY,51806,"k-pop, k-pop boy group, pop"
Yume wo Miteiru Aida,IZ*ONE,COLOR*IZ,0,"k-pop, k-pop girl group"
Pink Lemonade,TWICE,Wake Me Up,1095,"k-pop, k-pop girl group, pop"
motive (with Doja Cat),Ariana Grande,Positions,2870,pop
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,Positions,1440,pop
In the summer,TWICE,Perfect World,210953,"k-pop, k-pop girl group, pop"
The Feels,TWICE,The Feels,25120,"k-pop, k-pop girl group, pop"
The Feels - The Stereotypes Remix,TWICE,The Feels,60230,"k-pop, k-pop girl group, pop"
PROBLEMA,Daddy Yankee,PROBLEMA,1558,"latin hip hop, reggaeton, trap latino, urbano latino"
Ella Me Levanto,Daddy Yankee,El Cartel: The Big Boss,48728,"latin hip hop, reggaeton, trap latino, urbano latino"
"LET IT BE〜 YOU&I〜 ONLY LOOK AT ME / ROSÉ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",62838,"k-pop, k-pop girl group, pop"
Wishing,TWICE,BDZ,2389,"k-pop, k-pop girl group, pop"
POLISH,TWICE,&TWICE,23,"k-pop, k-pop girl group, pop"
The Feels - YVES V Remix,TWICE,The Feels,135000,"k-pop, k-pop girl group, pop"
The Feels - Instrumental,TWICE,The Feels,198053,"k-pop, k-pop girl group, pop"
Tú no me conoces,Danny Ocean,Tú no me conoces,149787,"pop venezolano, reggaeton, trap latino, urbano latino"
0X1=LOVESONG (I Know I Love You) feat. MOD SUN,TOMORROW X TOGETHER,0X1=LOVESONG (I Know I Love You) feat. MOD SUN,1497,"k-pop, k-pop boy group"
CALL,Stray Kids,Scars / ソリクン -Japanese ver.-,3592,"k-pop, k-pop boy group, pop"
Scars,Stray Kids,Scars,21660,"k-pop, k-pop boy group, pop"
Pretty Savage - JP Ver.,BLACKPINK,Pretty Savage,49854,"k-pop, k-pop girl group, pop"
ソリクン -Japanese ver.-,Stray Kids,ソリクン -Japanese ver.-,15757,"k-pop, k-pop boy group, pop"
SCIENTIST,TWICE,Formula of Love: O+T=<3,111526,"k-pop, k-pop girl group, pop"
0X1=LOVESONG (I Know I Love You) - Japanese Ver.,TOMORROW X TOGETHER,Chaotic Wonderland,936,"k-pop, k-pop boy group"
"PUSH & PULL (JIHYO, SANA, DAHYUN)",TWICE,Formula of Love: O+T=<3,27101,"k-pop, k-pop girl group, pop"
ICON,TWICE,Formula of Love: O+T=<3,0,"k-pop, k-pop girl group, pop"
ESPRESSO,TWICE,Formula of Love: O+T=<3,9772,"k-pop, k-pop girl group, pop"
One In A Million,TWICE,Twicecoaster: Lane 1,4049,"k-pop, k-pop girl group, pop"
Christmas EveL,Stray Kids,Christmas EveL,149224,"k-pop, k-pop boy group, pop"
Lovesick Girls - JP Ver.,BLACKPINK,Lovesick Girls,280,"k-pop, k-pop girl group, pop"
24 to 25,Stray Kids,Christmas EveL,0,"k-pop, k-pop boy group, pop"
KILL THIS LOVE - JP Ver.,BLACKPINK,KILL THIS LOVE,2133,"k-pop, k-pop girl group, pop"
WHISTLE - Acoustic Ver.,BLACKPINK,SQUARE TWO,1886,"k-pop, k-pop girl group, pop"
Flatline,Justin Bieber,Journals,1350,"canadian pop, pop"
Doughnut,TWICE,Doughnut,514,"k-pop, k-pop girl group, pop"
MOONLIGHT,TWICE,Formula of Love: O+T=<3,1204,"k-pop, k-pop girl group, pop"
EYES (from “Armored Saurus”),TOMORROW X TOGETHER,EYES (from “Armored Saurus”),0,"k-pop, k-pop boy group"
Dance The Night Away - Japanese ver.,TWICE,#TWICE2,17767,"k-pop, k-pop girl group, pop"
Wonderful Day,TWICE,Doughnut,0,"k-pop, k-pop girl group, pop"
Ito,TOMORROW X TOGETHER,Ito,2428,"k-pop, k-pop boy group"
HACIENDO QUE ME AMAS,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,13934,"reggaeton, trap latino, urbano latino"
Otra Noche en Miami,Bad Bunny,X 100PRE,0,"reggaeton, trap latino, urbano latino"
NI BIEN NI MAL,Bad Bunny,X 100PRE,0,"reggaeton, trap latino, urbano latino"
Solo de Mi,Bad Bunny,Solo de Mi,0,"reggaeton, trap latino, urbano latino"
Suki ni Nacchaudarou?,IZ*ONE,COLOR*IZ,5314,"k-pop, k-pop girl group"
We Together,IZ*ONE,COLOR*IZ,81316,"k-pop, k-pop girl group"
TRELLAS,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,16109,"reggaeton, trap latino, urbano latino"
120,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,920,"reggaeton, trap latino, urbano latino"
WHISTLE - Japanese Version,BLACKPINK,BLACKPINK IN YOUR AREA,847,"k-pop, k-pop girl group, pop"
BOOKER T,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,196,"reggaeton, trap latino, urbano latino"
Stuck with U (with Justin Bieber),Ariana Grande,Stuck with U,228482,pop
Hold On,Justin Bieber,Hold On,6744,"canadian pop, pop"
"My Universe (Seungmin, I.N)",Stray Kids,IN LIFE,24079,"k-pop, k-pop boy group, pop"
Flowerbomb,Wanna One,1¹¹=1 (POWER OF DESTINY),13601,"k-pop, k-pop boy group"
Insomnia,Stray Kids,I am WHO,206426,"k-pop, k-pop boy group, pop"
Beautiful (Part.3),Wanna One,B-Side,21830,"k-pop, k-pop boy group"
ROCK,Stray Kids,I am NOT,3013,"k-pop, k-pop boy group, pop"
Charmer,Stray Kids,ODDINARY,3978,"k-pop, k-pop boy group, pop"
Lonely St.,Stray Kids,ODDINARY,326,"k-pop, k-pop boy group, pop"
MANIAC,Stray Kids,ODDINARY,182742,"k-pop, k-pop boy group, pop"
DDU-DU DDU-DU - Remix JP Ver.,BLACKPINK,DDU-DU DDU-DU,5458,"k-pop, k-pop girl group, pop"
X ÚLTIMA VEZ,Daddy Yankee,LEGENDADDY,45141,"latin hip hop, reggaeton, trap latino, urbano latino"
VENOM,Stray Kids,ODDINARY,113436,"k-pop, k-pop boy group, pop"
That Should Be Me,Justin Bieber,My World 2.0,82676,"canadian pop, pop"
FREEZE,Stray Kids,ODDINARY,585,"k-pop, k-pop boy group, pop"
Thursday's Child Has Far To Go,TOMORROW X TOGETHER,minisode 2: Thursday's Child,32445,"k-pop, k-pop boy group"
My Side,Stray Kids,I am YOU,15994,"k-pop, k-pop boy group, pop"
Después de la Playa,Bad Bunny,Un Verano Sin Ti,21200,"reggaeton, trap latino, urbano latino"
Moscow Mule,Bad Bunny,Un Verano Sin Ti,245969,"reggaeton, trap latino, urbano latino"
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,19128,"reggaeton, trap latino, urbano latino"
What You Waiting For,TWICE,&TWICE,6710,"k-pop, k-pop girl group, pop"
Jelly Jelly,TWICE,Twicecoaster: Lane 1,6047,"k-pop, k-pop girl group, pop"
REAL YOU,TWICE,Formula of Love: O+T=<3,767,"k-pop, k-pop girl group, pop"
Ghost,Justin Bieber,Justice,153251,"canadian pop, pop"
test drive,Ariana Grande,Positions,3367,pop
Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,116848,"reggaeton, trap latino, urbano latino"
